Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,424,2548,1343,574,411
Cash & Due from Banks Growth,083.36%,89.71%,134.14%,39.70%,0
Investments 0 Total,14572,12840,8611,8741,9495
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,1,1,1
Federal Funds Sold,0,0,1,1,1
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,14,26
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,122,133,166,239,254
Mortgage Backed Securities,14342,12686,8377,8317,9129
Other Securities,12,0,0,0,0
Other Investments,96,21,68,170,85
Investments Growth,13.50%,49.11%,01.49%,07.94%,0
Net Loans,18558,18330,19931,18758,10284
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,3283,3332,4256,3886,2213
Consumer & Installment Loans,284,288,356,398,289
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,15273,14988,15589,14480,7838
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,282,286,316,87,86
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,2,1,11,7,2
Loans 0 1 Yr Growth Rate,1.24%,08.03%,6.25%,82.40%,0
Total Deposits FOR CALC PURPOSES,28534,30772,27360,24200,17257
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,381,369,381,381,257
Other Assets Including Intangibles,3648,3667,3704,3689,2218
Other Assets,365,374,399,379,284
Intangible Assets,3283,3293,3305,3310,1934
Deferred Charges,0,0,0,0,0
Interest Receivables,88,66,82,81,57
Total Assets,37751,37892,34112,32241,22723
Assets 0 Total Growth,00.37%,11.08%,5.81%,41.88%,0
Return On Average Assets,1.39%,0,0,0,0
