Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,70,51,56,53,23
Cash & Due from Banks Growth,37.42%,08.82%,5.09%,128.24%,0
Investments 0 Total,"1,263","1,592","1,263",624,586
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,1,1,1,2
Federal Agency Securities,40,35,11,15,20
State & Municipal Securities,464,576,324,96,128
Mortgage Backed Securities,327,434,395,278,159
Other Securities,323,368,342,129,120
Other Investments,108,179,190,106,157
Investments Growth,020.70%,26.12%,102.20%,6.63%,0
Net Loans,"3,413","2,858","2,698","2,699","2,558"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,428,561,433,323,326
Consumer & Installment Loans,624,340,468,448,380
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"2,413","2,004","1,833","1,954","1,877"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(52),(47),(35),(26),(25)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,1,2,1
Loans 0 1 Yr Growth Rate,19.42%,5.91%,00.02%,5.52%,0
Total Deposits FOR CALC PURPOSES,"4,379","4,117","3,637","3,037","2,913"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",41,43,44,47,39
Other Assets (Including Intangibles),166,143,130,127,131
Other Assets,135,112,98,94,96
Intangible Assets,31,32,33,34,35
Deferred Charges,0,0,0,0,0
Interest Receivables,17,13,12,10,10
Total Assets,"5,013","4,716","4,216","3,574","3,360"
Assets 0 Total Growth,6.30%,11.86%,17.97%,6.37%,0
Return On Average Assets,1.30%,0,0,0,0
