Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,106,91,87,67,87
Cash & Due from Banks Growth,16.49%,4.31%,30.48%,023.38%,0
Investments 0 Total,2740,3007,2777,2608,2232
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,84,0,0,0,9
Federal Funds Sold,84,0,0,0,9
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,59,0,0,0
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,2002,2053,1582,806,720
Mortgage Backed Securities,462,608,1037,1678,1430
Other Securities,172,147,90,22,15
Other Investments,19,140,69,102,58
Investments Growth,08.88%,8.29%,6.47%,16.84%,0
Net Loans,4111,3610,3609,3543,3286
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,862,862,966,785,710
Consumer & Installment Loans,75,86,94,100,106
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,3211,2697,2598,2683,2496
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,37,35,49,25,27
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,1
Loans 0 1 Yr Growth Rate,13.89%,0.03%,1.84%,7.84%,0
Total Deposits FOR CALC PURPOSES,6198,5722,4932,4703,4425
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,157,158,160,154,136
Other Assets Including Intangibles,361,355,337,348,344
Other Assets,155,147,126,133,125
Intangible Assets,206,208,211,214,219
Deferred Charges,0,0,0,0,0
Interest Receivables,49,39,39,28,27
Total Assets,7587,7279,7039,6768,6137
Assets 0 Total Growth,4.22%,3.42%,4.00%,10.27%,0
Return On Average Assets,1.41%,0,0,0,0
