Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,124,85,100,102,96
Cash & Due from Banks Growth,46.63%,015.27%,02.28%,6.68%,0
Investments 0 Total,"1,292","1,925","1,495","1,292","1,350"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,23,23,101,1,10
State & Municipal Securities,35,39,46,58,70
Mortgage Backed Securities,"1,136","1,487","1,021","1,156","1,202"
Other Securities,30,34,25,25,21
Other Investments,68,342,302,52,47
Investments Growth,032.87%,28.72%,15.76%,04.33%,0
Net Loans,"7,539","6,747","6,660","6,138","5,726"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"1,212","1,173","1,556","1,242","1,138"
Consumer & Installment Loans,"1,298","1,000",816,699,591
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"4,702","4,666","4,389","4,248","4,045"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(103),(93),(101),(52),(48)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,1,1,2,4
Loans 0 1 Yr Growth Rate,11.75%,1.30%,8.51%,7.18%,0
Total Deposits FOR CALC PURPOSES,"8,005","7,982","7,439","6,678","5,898"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",115,121,126,137,80
Other Assets (Including Intangibles),671,640,664,621,548
Other Assets,361,328,349,303,261
Intangible Assets,310,312,315,318,287
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,"9,820","9,557","9,086","8,323","7,831"
Assets 0 Total Growth,2.75%,5.18%,9.17%,6.29%,0
Return On Average Assets,1.32%,0,0,0,0
