Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,61,44,44,65,84
Cash & Due from Banks Growth,37.54%,00.71%,031.95%,022.85%,0
Investments 0 Total,1837,1613,1378,1286,287
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,102,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,102,0,0,0
Treasury Securities,0,0,0,0,9
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,159,152,148,101,40
Mortgage Backed Securities,765,592,674,745,187
Other Securities,378,323,248,166,27
Other Investments,535,443,308,274,24
Investments Growth,13.88%,17.08%,7.15%,348.37%,0
Net Loans,9392,7307,6678,5891,2536
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2986,2116,1931,1730,771
Consumer & Installment Loans,8,12,13,17,7
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,5739,5266,4842,1683,674
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,19,9,2,0,0
Loan Loss Allowances Reserves,91,78,105,30,19
Investment in Unconsolidated Subs.,1,1,1,1,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,2,6,0
Loans 0 1 Yr Growth Rate,28.52%,9.42%,13.36%,132.29%,0
Total Deposits FOR CALC PURPOSES,9123,7364,6513,5894,2622
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,126,126,130,132,78
Other Assets Including Intangibles,701,666,582,572,209
Other Assets,258,214,153,132,33
Intangible Assets,443,452,429,440,176
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,9
Total Assets,12177,9794,8857,7983,3214
Assets 0 Total Growth,24.33%,10.58%,10.95%,148.40%,0
Return On Average Assets,1.33%,0,0,0,0
