Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,34596,24616,28236,21757,23551
Cash & Due from Banks Growth,40.54%,012.82%,29.78%,07.62%,0
Investments 0 Total,761842,910839,907290,806521,779502
Trading Account Securities,113065,115741,98127,107173,89438
Federal Funds Sold & Securities Purchased,68036,66223,65672,102140,80207
Federal Funds Sold,68036,66223,65672,102140,80207
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,61649,56276,86267,60501,58099
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,41430,49606,45266,53823,55550
Mortgage Backed Securities,269640,300409,259126,262083,253888
Other Securities,39370,45553,37017,47466,51676
Other Investments,168652,277031,315815,173335,190644
Investments Growth,016.36%,0.39%,12.49%,3.47%,0
Net Loans,942886,882904,869121,952714,943335
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,386806,350436,318805,354125,350199
Consumer & Installment Loans,129238,123386,109260,123190,120242
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,424919,406713,443485,465119,462973
Lease Financing Loans,14908,14859,16087,19831,19696
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,12985,12490,18516,9551,9775
Investment in Unconsolidated Subs.,21855,20510,18203,19000,18215
Customer Liability on Acceptances,0,155,268,253,258
Real Estate Other Than Bank Premises,274,112,159,303,451
Loans 0 1 Yr Growth Rate,6.79%,1.59%,08.77%,0.99%,0
Total Deposits FOR CALC PURPOSES,1383985,1482479,1404381,1322626,1286170
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,17977,18558,20592,22254,17956
Other Assets Including Intangibles,95777,86759,104421,99167,106531
Other Assets,69282,60099,76389,72354,79568
Intangible Assets,26495,26660,28032,26813,26963
Deferred Charges,0,0,0,0,0
Interest Receivables,5809,3615,4621,5586,6084
Total Assets,1900933,1958746,1965392,1936008,1905047
Assets 0 Total Growth,02.95%,00.34%,1.52%,1.63%,0
Return On Average Assets,0.68%,0,0,0,0
Total Deposits,1383985,1482479,1404381,1322626,1286170
Demand Deposits,886887,993635,914514,407310,406331
Savings/Time Deposits,476336,469061,454710,861404,821588
Foreign Office Deposits,20762,19783,35157,53912,58251
Unspecified Deposits,0,0,0,0,0
Deposits Growth,06.64%,5.56%,6.18%,2.83%,0
Total Debt,230480,199574,276911,338000,334831
ST Debt & Current Portion LT Debt,72535,51128,58999,145164,152334
Current Portion of Long Term Debt,20507,15771,0,39646,46547
Short Term Debt,52028,35357,58999,105518,105787
Long0Term Debt,157945,148446,217912,192836,182497
LT Debt excl. Capitalized Leases,154363,144918,212950,188545,182497
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,6.40%,031.88%,13.00%,5.67%,0
Total Assets FOR CALCULATION PURPOSES ONLY,1900933,1958746,1965392,1936008,1905047
Total Debt / Total Assets,12.12%,10.19%,14.09%,17.46%,17.58%
Deferred Tax Liabilities,130,2253,4070,7278,8991
Deferred Taxes 0 Credit,20047,12931,16551,15731,18155
Deferred Taxes 0 Debit,19917,10678,12481,8453,9164
Other Liabilities,84546,73652,81837,71667,68825
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,84546,73652,81837,71667,68825
Deferred Income,0,0,0,0,0
Total Liabilities,1719058,1768636,1779680,1748024,1707981
Total Liabilities Growth,02.80%,00.62%,1.81%,2.34%,0
Preferred Stock Carrying Value,19448,20057,21136,21549,23214
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,19448,20057,21136,21549,23214
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,160441,167549,163544,165597,172952
Common Stock Par/Carry Value,9136,9136,9136,9136,9136
Additional Paid0In Capital/Capital Surplus,60319,60196,60197,61049,60685
Retained Earnings,187649,180322,162683,166697,158163
ESOP Debt Guarantee,429,646,875,1143,1502
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,379,142,112,162,233
Unrealized Gain/Loss Marketable Securities,9841,665,3039,1552,3122
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,3161,2225,2733,2701,2981
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,82853,79757,67791,68831,47194
Common Equity / Total Assets,0.08%,0.09%,0.08%,0.09%,0.09%
Total Shareholders Equity,179889,187606,184680,187146,196166
Total Shareholders Equity / Total Assets,9.46%,9.58%,9.40%,9.67%,10.30%
Return On Average Total Equity,7.17%,0,0,0,0
Accumulated Minority Interest,1986,2504,1032,838,900
Total Equity,181875,190110,185712,187984,197066
Liabilities & Shareholders Equity,1900933,1958746,1965392,1936008,1905047
