Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,101,128,94,65,56
Cash & Due from Banks Growth,021.13%,36.81%,45.27%,15.11%,0
Investments 0 Total,3066,3580,1966,1110,1051
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,169,0,0,0,0
Federal Agency Securities,57,69,70,20,83
State & Municipal Securities,527,494,138,27,49
Mortgage Backed Securities,2060,2535,1368,809,438
Other Securities,43,46,45,35,33
Other Investments,210,435,345,220,449
Investments Growth,014.34%,82.07%,77.17%,5.57%,0
Net Loans,6574,6003,4679,4432,4228
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,642,649,783,504,457
Consumer & Installment Loans,61,57,54,56,71
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,5964,5377,3899,3891,3719
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,2,1
Unearned Income,1,2,4,0,0
Loan Loss Allowances Reserves,91,79,52,21,21
Investment in Unconsolidated Subs.,19,11,8,8,8
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,3,2,4,7
Loans 0 1 Yr Growth Rate,9.52%,28.30%,5.57%,4.83%,0
Total Deposits FOR CALC PURPOSES,9228,9125,6274,4931,4659
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,153,157,138,135,119
Other Assets Including Intangibles,565,601,382,374,379
Other Assets,192,224,134,128,128
Intangible Assets,373,377,249,246,251
Deferred Charges,3,3,3,2,3
Interest Receivables,30,26,20,17,16
Total Assets,10644,10528,7308,6154,5879
Assets 0 Total Growth,1.10%,44.06%,18.75%,4.68%,0
Return On Average Assets,1.38%,0,0,0,0
