Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,300,198,227,199,162
Cash & Due from Banks Growth,51.55%,012.78%,14.33%,22.78%,0
Investments 0 Total,9227,10731,6156,3055,3008
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,1291,1347,39,20,24
Federal Agency Securities,287,241,10,44,120
State & Municipal Securities,1816,1688,1607,927,1150
Mortgage Backed Securities,5602,6914,3524,1652,1285
Other Securities,26,181,349,158,291
Other Investments,204,361,629,255,138
Investments Growth,014.02%,74.31%,101.54%,1.56%,0
Net Loans,15065,13259,10964,9388,8156
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2800,2664,3055,2094,1911
Consumer & Installment Loans,382,349,313,296,286
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2268,1788,1439,1544,1432
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,182,173,158,124,131
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,2,5,7
Loans 0 1 Yr Growth Rate,13.61%,20.93%,16.79%,15.10%,0
Total Deposits FOR CALC PURPOSES,20607,21337,14798,10776,9494
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,398,373,325,310,242
Other Assets Including Intangibles,1369,1275,754,669,463
Other Assets,342,237,184,149,124
Intangible Assets,1027,1038,570,520,339
Deferred Charges,0,0,0,0,0
Interest Receivables,84,77,75,56,54
Total Assets,26695,26006,18586,13750,12152
Assets 0 Total Growth,2.65%,39.92%,35.17%,13.15%,0
Return On Average Assets,1.15%,0,0,0,0
Total Deposits,20607,21337,14798,10776,9494
Demand Deposits,16494,17095,6326,4583,4076
Savings/Time Deposits,4081,4216,2979,2444,2248
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,32,26,38,53,169
Deposits Growth,03.42%,44.19%,37.31%,13.51%,0
Total Debt,3003,1245,1227,821,985
ST Debt & Current Portion LT Debt,2753,1026,1009,604,682
Current Portion of Long Term Debt,4,0,0,32,286
Short Term Debt,2749,1026,1009,572,396
Long0Term Debt,250,219,218,217,303
LT Debt excl. Capitalized Leases,182,171,167,170,303
Capitalized Lease Obligations,24,6,6,6,0
Provision for Risks & Charges,30,41,17,18,14
Long Term Debt Growth,13.93%,0.55%,0.36%,028.33%,0
Total Assets FOR CALCULATION PURPOSES ONLY,26695,26006,18586,13750,12152
Total Debt / Total Assets,11.25%,4.79%,6.60%,5.97%,8.11%
Deferred Tax Liabilities,193,28,24,2,24
Deferred Taxes 0 Credit,59,65,106,66,37
Deferred Taxes 0 Debit,253,93,82,68,60
Other Liabilities,153,139,131,108,107
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,153,139,131,108,107
Deferred Income,0,0,0,0,0
Total Liabilities,23851,22828,16279,11790,10636
Total Liabilities Growth,4.48%,40.23%,38.08%,10.84%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,2843,3178,2307,1961,1516
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid0In Capital/Capital Surplus,2344,2339,1495,1379,1051
Retained Earnings,967,810,668,541,473
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,474,27,143,40,7
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,6,0,0,0,3
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.11%,0.12%,0.12%,0.14%,0.12%
Total Shareholders Equity,2843,3178,2307,1961,1516
Total Shareholders Equity / Total Assets,10.65%,12.22%,12.41%,14.26%,12.47%
Return On Average Total Equity,10.07%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,2843,3178,2307,1961,1516
Liabilities & Shareholders Equity,26695,26006,18586,13750,12152
