Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,198,358,312,234,231
Cash & Due from Banks Growth,044.72%,14.93%,33.09%,1.44%,0
Investments 0 Total,4369,6394,3996,2141,2144
Trading Account Securities,29,27,25,26,26
Federal Funds Sold & Securities Purchased,300,300,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,300,300,0,0,0
Treasury Securities,55,202,142,90,150
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,764,729,675,284,294
Mortgage Backed Securities,2962,3109,1693,1397,1397
Other Securities,124,120,234,16,29
Other Investments,133,1907,1227,328,248
Investments Growth,031.67%,59.99%,86.63%,00.14%,0
Net Loans,10005,8953,9704,9205,8588
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2526,2250,3222,2031,1888
Consumer & Installment Loans,115,97,114,212,216
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,6981,6054,6535,7565,6580
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,1
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,141,132,167,101,96
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,1,1,1,3
Loans 0 1 Yr Growth Rate,11.76%,07.74%,5.42%,7.18%,0
Total Deposits FOR CALC PURPOSES,13620,14327,12567,10049,9477
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,188,204,220,240,172
Other Assets Including Intangibles,838,781,687,685,620
Other Assets,455,393,292,283,248
Intangible Assets,383,388,395,402,372
Deferred Charges,0,0,0,0,0
Interest Receivables,57,43,47,38,39
Total Assets,15870,16844,15093,12655,11895
Assets 0 Total Growth,05.78%,11.60%,19.27%,6.39%,0
Return On Average Assets,1.19%,0,0,0,0
