Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,47,42,38,29,22
Cash & Due from Banks Growth,13.67%,8.87%,32.68%,32.07%,0
Investments 0 Total,1596,1593,1511,1379,2460
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,0,15,17,0,1
State & Municipal Securities,114,119,69,53,0
Mortgage Backed Securities,428,490,318,128,570
Other Securities,654,693,827,732,1422
Other Investments,399,277,279,467,467
Investments Growth,0.19%,5.43%,9.52%,043.93%,0
Net Loans,7029,7159,5817,5894,7639
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,4864,2875,2362,1762,2013
Consumer & Installment Loans,87,103,33,54,70
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,3854,4274,3503,4135,5618
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,86,93,81,58,62
Investment in Unconsolidated Subs.,0,26,28,29,29
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,1
Loans 0 1 Yr Growth Rate,01.81%,23.06%,01.30%,022.84%,0
Total Deposits FOR CALC PURPOSES,7121,7439,6086,5427,7917
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,136,148,141,151,129
Other Assets Including Intangibles,300,344,266,277,262
Other Assets,178,244,227,235,219
Intangible Assets,122,101,40,41,43
Deferred Charges,8,0,0,7,9
Interest Receivables,38,31,29,25,39
Total Assets,9219,9427,7907,7857,10652
Assets 0 Total Growth,02.21%,19.23%,0.63%,026.24%,0
Return On Average Assets,1.30%,0,0,0,0
