Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,150,133,61,62,71
Cash & Due from Banks Growth,12.63%,120.23%,02.60%,012.46%,0
Investments 0 Total,2021,2255,1656,894,760
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,248,98,1,5,61
State & Municipal Securities,401,429,480,128,120
Mortgage Backed Securities,921,919,421,380,403
Other Securities,82,83,140,17,11
Other Investments,362,720,602,352,154
Investments Growth,010.38%,36.16%,85.37%,17.52%,0
Net Loans,7003,5167,5638,4106,3755
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2051,1454,1818,1343,1273
Consumer & Installment Loans,26,17,18,21,21
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,5013,3760,3889,2779,2496
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,87,65,87,38,34
Investment in Unconsolidated Subs.,21,21,16,16,15
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,2,2,5,4
Loans 0 1 Yr Growth Rate,35.54%,08.36%,37.32%,9.34%,0
Total Deposits FOR CALC PURPOSES,7776,6571,5751,4229,3783
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,133,104,103,104,75
Other Assets Including Intangibles,357,178,152,138,142
Other Assets,179,127,122,106,109
Intangible Assets,179,51,30,32,33
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,9686,7861,7628,5325,4822
Assets 0 Total Growth,23.21%,3.05%,43.26%,10.43%,0
Return On Average Assets,1.00%,0,0,0,0
