Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,298,247,303,360,397
Cash & Due from Banks Growth,20.58%,-18.68%,-15.82%,-9.19%,-
Investments - Total,7889,9686,7139,4653,5264
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,151,193,171,30,389
Federal Agency Securities,99,-,-,101,242
State & Municipal Securities,54,44,-,-,20
Mortgage Backed Securities,7168,8191,5900,3944,3847
Other Securities,-,-,-,-,-
Other Investments,418,1258,1067,578,765
Investments Growth,-18.55%,35.68%,53.41%,-11.59%,-
Net Loans,13948,12805,13071,13081,12934
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,2236,2087,3020,2743,3209
Consumer & Installment Loans,1223,1230,1354,1621,1663
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,10335,9414,8660,8645,8057
Lease Financing Loans,298,231,245,202,173
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,26
Loan Loss Allowances Reserves,144,157,208,131,142
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,0,0,-,0,1
Loans - 1 Yr Growth Rate,8.93%,-2.03%,-0.08%,1.13%,-
Total Deposits FOR CALC PURPOSES,21689,21816,19228,16445,17150
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,343,383,363,361,305
Other Assets Including Intangibles,1759,1713,1663,1611,1638
Other Assets,748,704,668,616,643
Intangible Assets,1011,1009,995,995,995
Deferred Charges,9,15,16,16,9
Interest Receivables,78,63,70,45,49
Total Assets,24666,25065,22743,20221,20732
Assets - Total Growth,-1.59%,10.21%,12.48%,-2.47%,-
Return On Average Assets,1.07%,-,-,-,-
Total Deposits,21689,21816,19228,16445,17150
Demand Deposits,12830,13427,10859,8936,9205
Savings/Time Deposits,8859,8389,8368,7509,7945
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,-0.58%,13.46%,16.92%,-4.11%,-
Total Debt,140,66,248,644,600
ST Debt & Current Portion LT Debt,81,8,9,409,0
Current Portion of Long Term Debt,-,-,0,0,0
Short Term Debt,81,8,9,409,-
Long-Term Debt,59,58,239,236,600
LT Debt excl. Capitalized Leases,-,-,200,-,-
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,150,197,232,241,164
Long Term Debt Growth,0.98%,-75.68%,1.28%,-60.73%,-
Total Assets FOR CALCULATION PURPOSES ONLY,24666,25065,22743,20221,20732
Total Debt / Total Assets,0.57%,0.26%,1.09%,3.19%,2.89%
Deferred Tax Liabilities,262,96,55,54,108
Deferred Taxes - Credit,89,72,81,54,37
Deferred Taxes - Debit,351,169,135,108,145
Other Liabilities,330,256,211,196,257
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,330,256,211,196,257
Deferred Income,-,-,-,-,-
Total Liabilities,22397,22408,19999,17580,18208
Total Liabilities Growth,-0.05%,12.04%,13.76%,-3.44%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,2269,2657,2744,2640,2525
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid-In Capital/Capital Surplus,2538,2528,2514,2504,2496
Retained Earnings,737,605,474,437,292
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,629,97,63,4,104
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,10,24,32,28,28
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,368,355,277,270,132
Common Equity / Total Assets,0.09%,0.11%,0.12%,0.13%,0.12%
Total Shareholders Equity,2269,2657,2744,2640,2525
Total Shareholders Equity / Total Assets,9.20%,10.60%,12.07%,13.06%,12.18%
Return On Average Total Equity,10.79%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,2269,2657,2744,2640,2525
Liabilities & Shareholders Equity,24666,25065,22743,20221,20732
